"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"327",2052,0.1295279,0.01,0.05,120000,1.8,25.32251,22.85595,6388.172,29.2,1.3,3487.124
"328",2053,0.1291917,0.01,0.05,120000,1.8,25.40068,22.96887,6555.214,29.1,1.2,3516.764
"329",2054,0.1288269,0.01,0.05,120000,1.8,25.47914,23.08098,6728.626,29.1,1.2,3547.712
"330",2055,0.1281955,0.01,0.05,120000,1.8,25.55779,23.19227,6909.364,29,1.2,3580.351
"331",2056,0.127772,0.01,0.05,120000,1.8,25.63655,23.30275,7092.847,29,1.2,3612.216
"332",2057,0.1273058,0.01,0.05,120000,1.8,25.71534,23.41242,7283.368,28.9,1.2,3645.448
"333",2058,0.1269362,0.01,0.05,120000,1.8,25.79409,23.52128,7480.489,28.9,1.1,3679.715
"334",2059,0.1261938,0.01,0.05,120000,1.8,25.87275,23.62934,7684.467,28.8,1.1,3715.041
"335",2060,0.1256461,0.01,0.05,120000,1.8,25.95126,23.73658,7893.225,28.8,1.1,3750.333
"336",2061,0.1256614,0.01,0.05,120000,1.8,26.02959,23.84302,8106.851,28.8,1.1,3785.587
"337",2062,0.125306,0.01,0.05,120000,1.8,26.10773,23.94866,8326.259,28.8,1.1,3821.171
"338",2063,0.125085,0.01,0.05,120000,1.8,26.18565,24.05349,8552.452,28.8,1.1,3857.472
"339",2064,0.1249865,0.01,0.05,120000,1.8,26.26335,24.15753,8783.05,28.8,1.1,3893.347
"340",2065,0.1250482,0.01,0.05,120000,1.8,26.34081,24.26078,9015.396,28.7,1.1,3927.608
"341",2066,0.1251806,0.01,0.05,120000,1.8,26.41802,24.36323,9250.22,28.7,1.1,3960.6
"342",2067,0.1253199,0.01,0.05,120000,1.8,26.49499,24.4649,9492.102,28.7,1,3994.265
"343",2068,0.1251564,0.01,0.05,120000,1.8,26.57171,24.56578,9740.309,28.7,1,4028.216
"344",2069,0.1253544,0.01,0.05,120000,1.8,26.64818,24.66589,9993.023,28.7,1,4061.651
"345",2070,0.1253677,0.01,0.05,120000,1.8,26.7244,24.76522,10249.245,28.7,1,4094.144
"346",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"347",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
