"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"519",2037,0.1361916,0.01,0.05,70000,1.8,23.39608,19.97824,4328.752,30.1,1.7,3065.277
"520",2038,0.1360345,0.01,0.05,70000,1.8,23.3924,20.03291,4448.99,30,1.7,3096.236
"521",2039,0.1357782,0.01,0.05,70000,1.8,23.39073,20.09034,4573.474,30,1.7,3128.127
"522",2040,0.1354952,0.01,0.05,70000,1.8,23.39132,20.15038,4698.649,29.9,1.6,3158.47
"523",2041,0.1352385,0.01,0.05,70000,1.8,23.39429,20.2127,4824.381,29.8,1.6,3187.212
"524",2042,0.1350479,0.01,0.05,70000,1.8,23.39961,20.27689,4952.496,29.8,1.6,3215.578
"525",2043,0.1349105,0.01,0.05,70000,1.8,23.40716,20.34234,5082.502,29.7,1.5,3243.232
"526",2044,0.134835,0.01,0.05,70000,1.8,23.41708,20.4087,5215.92,29.6,1.5,3271.124
"527",2045,0.1347439,0.01,0.05,70000,1.8,23.42941,20.47591,5351.779,29.6,1.5,3298.602
"528",2046,0.1347307,0.01,0.05,70000,1.8,23.44415,20.54392,5486.821,29.5,1.4,3323.671
"529",2047,0.1346068,0.01,0.05,70000,1.8,23.46122,20.61265,5625.828,29.4,1.4,3349.263
"530",2048,0.1344386,0.01,0.05,70000,1.8,23.4805,20.682,5769.502,29.4,1.4,3375.722
"531",2049,0.1342474,0.01,0.05,70000,1.8,23.50183,20.75185,5919.193,29.3,1.3,3403.741
"532",2050,0.1342112,0.01,0.05,70000,1.8,23.52498,20.82206,6070.961,29.3,1.3,3430.971
"533",2051,0.1341138,0.01,0.05,70000,1.8,23.54973,20.89253,6226.62,29.2,1.3,3458.419
"534",2052,0.1339812,0.01,0.05,70000,1.8,23.57583,20.96314,6388.172,29.2,1.3,3487.124
"535",2053,0.1338276,0.01,0.05,70000,1.8,23.60303,21.0338,6555.214,29.1,1.2,3516.764
"536",2054,0.1336295,0.01,0.05,70000,1.8,23.63113,21.10444,6728.626,29.1,1.2,3547.712
"537",2055,0.1333513,0.01,0.05,70000,1.8,23.65993,21.17499,6909.364,29,1.2,3580.351
"538",2056,0.1330874,0.01,0.05,70000,1.8,23.68926,21.24538,7092.847,29,1.2,3612.216
"539",2057,0.1327454,0.01,0.05,70000,1.8,23.71899,21.31557,7283.368,28.9,1.2,3645.448
"540",2058,0.1324088,0.01,0.05,70000,1.8,23.749,21.38554,7480.489,28.9,1.1,3679.715
"541",2059,0.1320154,0.01,0.05,70000,1.8,23.7792,21.45526,7684.467,28.8,1.1,3715.041
"542",2060,0.1317158,0.01,0.05,70000,1.8,23.80954,21.52472,7893.225,28.8,1.1,3750.333
"543",2061,0.1314865,0.01,0.05,70000,1.8,23.83997,21.59392,8106.851,28.8,1.1,3785.587
"544",2062,0.1313012,0.01,0.05,70000,1.8,23.87046,21.66283,8326.259,28.8,1.1,3821.171
"545",2063,0.1311899,0.01,0.05,70000,1.8,23.90099,21.73146,8552.452,28.8,1.1,3857.472
"546",2064,0.1311794,0.01,0.05,70000,1.8,23.93156,21.79981,8783.05,28.8,1.1,3893.347
"547",2065,0.1312838,0.01,0.05,70000,1.8,23.96216,21.86787,9015.396,28.7,1.1,3927.608
"548",2066,0.1313983,0.01,0.05,70000,1.8,23.99277,21.93565,9250.22,28.7,1.1,3960.6
"549",2067,0.1314995,0.01,0.05,70000,1.8,24.0234,22.00315,9492.102,28.7,1,3994.265
"550",2068,0.1316012,0.01,0.05,70000,1.8,24.05405,22.07035,9740.309,28.7,1,4028.216
"551",2069,0.1317502,0.01,0.05,70000,1.8,24.0847,22.13728,9993.023,28.7,1,4061.651
"552",2070,0.131999,0.01,0.05,70000,1.8,24.11537,22.20391,10249.245,28.7,1,4094.144
